,hour,hour_count
0,0,121525
1,1,123027
2,2,124549
3,3,125307
4,4,123005
5,5,18221
6,6,62274
7,7,61975
8,8,48923
9,9,40250
10,10,41033
11,11,78909
12,12,114109
13,13,117907
14,14,119819
15,15,118922
16,16,119976
17,17,120028
18,18,120667
19,19,121946
20,20,121677
21,21,119761
22,22,120808
23,23,120657
