,Num_Passengers,hour,ts
370,32,17,6381
371,32,18,6146
372,32,19,5869
373,32,20,4447
374,32,21,2954
375,32,22,1350
376,32,23,438
377,33,0,394
378,33,1,228
379,33,2,80
380,33,3,10
381,33,13,236
382,33,14,785
383,33,15,2571
384,33,16,4119
385,33,17,5156
386,33,18,6427
387,33,19,5615
388,33,20,4597
389,33,21,3155
390,33,22,1999
391,33,23,587
392,34,0,369
393,34,1,232
394,34,2,125
395,34,3,30
396,34,13,142
397,34,14,653
398,34,15,1707
399,34,16,3861
400,34,17,4756
401,34,18,5969
402,34,19,5782
403,34,20,4775
404,34,21,3497
405,34,22,1820
406,34,23,917
407,35,0,358
408,35,1,356
409,35,2,252
410,35,3,110
411,35,4,27
412,35,13,31
413,35,14,394
414,35,15,1364
415,35,16,3347
416,35,17,4991
417,35,18,5349
418,35,19,6125
419,35,20,4770
420,35,21,3694
421,35,22,2414
422,35,23,1312
423,36,0,531
424,36,1,369
425,36,2,187
426,36,3,85
427,36,4,75
428,36,13,25
429,36,14,274
430,36,15,1185
431,36,16,2978
432,36,17,4292
433,36,18,5486
434,36,19,6228
435,36,20,5515
436,36,21,4051
437,36,22,2985
438,36,23,1754
439,37,0,1019
440,37,1,318
441,37,2,298
442,37,3,118
443,37,4,136
444,37,14,130
445,37,15,836
446,37,16,2531
447,37,17,3894
448,37,18,5378
449,37,19,6369
450,37,20,6087
451,37,21,4647
452,37,22,3778
453,37,23,2165
454,38,0,2041
455,38,1,407
456,38,2,499
457,38,3,215
458,38,4,125
459,38,14,111
460,38,15,669
461,38,16,1767
462,38,17,3656
463,38,18,5253
464,38,19,6612
465,38,20,6838
466,38,21,5411
467,38,22,3640
468,38,23,2472
469,39,0,2264
470,39,1,1036
471,39,2,614
472,39,3,306
473,39,4,86
474,39,14,102
475,39,15,286
476,39,16,1126
477,39,17,3119
478,39,18,4507
479,39,19,6168
480,39,20,7320
481,39,21,5565
482,39,22,4091
483,39,23,2844
484,40,0,2392
485,40,1,1330
486,40,2,657
487,40,3,354
488,40,4,129
489,40,14,107
490,40,15,247
491,40,16,842
492,40,17,2233
493,40,18,4215
494,40,19,5163
495,40,20,6833
496,40,21,6201
497,40,22,5019
498,40,23,3192
499,41,0,2878
500,41,1,1414
501,41,2,624
502,41,3,450
503,41,4,265
504,41,14,67
505,41,15,162
506,41,16,656
507,41,17,2059
508,41,18,3611
509,41,19,4526
510,41,20,6032
511,41,21,6091
512,41,22,5762
513,41,23,4100
514,42,0,3387
515,42,1,1624
516,42,2,799
517,42,3,405
518,42,4,402
519,42,15,74
520,42,16,381
521,42,17,1502
522,42,18,2791
523,42,19,4091
524,42,20,5445
525,42,21,6532
526,42,22,5795
527,42,23,4700
528,43,0,3707
529,43,1,2113
530,43,2,1096
531,43,3,548
532,43,4,368
533,43,15,87
534,43,16,248
535,43,17,941
536,43,18,2306
537,43,19,3880
538,43,20,4937
539,43,21,6482
540,43,22,6167
541,43,23,5034
542,44,0,3800
543,44,1,2585
544,44,2,1511
545,44,3,752
546,44,4,248
547,44,15,50
548,44,16,157
549,44,17,812
550,44,18,2354
551,44,19,3658
552,44,20,4465
553,44,21,5968
554,44,22,6870
555,44,23,5240
556,45,0,4017
557,45,1,3897
558,45,2,1689
559,45,3,834
560,45,4,416
561,45,15,53
562,45,16,218
563,45,17,670
564,45,18,2081
565,45,19,3464
566,45,20,4255
567,45,21,5597
568,45,22,6919
569,45,23,5364
570,46,0,4338
571,46,1,4268
572,46,2,2074
573,46,3,1221
574,46,4,565
575,46,15,55
576,46,16,249
577,46,17,584
578,46,18,1489
579,46,19,3212
580,46,20,4520
581,46,21,5073
582,46,22,6086
583,46,23,5972
584,47,0,5295
585,47,1,4525
586,47,2,2840
587,47,3,1587
588,47,4,742
589,47,15,42
590,47,16,179
591,47,17,367
592,47,18,1057
593,47,19,2915
594,47,20,4353
595,47,21,4484
596,47,22,5262
597,47,23,6425
598,48,0,5616
599,48,1,4263
600,48,2,3704
601,48,3,1818
602,48,4,1173
603,48,16,23
604,48,17,172
605,48,18,881
606,48,19,2236
607,48,20,3536
608,48,21,4921
609,48,22,5394
610,48,23,6255
611,49,0,5685
612,49,1,4868
613,49,2,4292
614,49,3,2483
615,49,4,1580
616,49,16,15
617,49,17,78
618,49,18,654
619,49,19,1811
620,49,20,2768
621,49,21,4527
622,49,22,4948
623,49,23,5831
624,50,0,5845
625,50,1,4981
626,50,2,4661
627,50,3,3354
628,50,4,2026
629,50,16,2
630,50,17,92
631,50,18,323
632,50,19,1196
633,50,20,2219
634,50,21,3806
635,50,22,4850
636,50,23,5771
637,51,0,5635
638,51,1,5131
639,51,2,4659
640,51,3,3428
641,51,4,1912
642,51,5,1
643,51,17,68
644,51,18,147
645,51,19,948
646,51,20,1569
647,51,21,2897
648,51,22,4339
649,51,23,5412
650,52,0,5623
651,52,1,5361
652,52,2,4845
653,52,3,4309
654,52,4,2610
655,52,5,1
656,52,17,17
657,52,18,104
658,52,19,799
659,52,20,1564
660,52,21,2452
661,52,22,3869
662,52,23,4945
663,53,0,6080
664,53,1,5440
665,53,2,4911
666,53,3,4536
667,53,4,3332
668,53,17,3
669,53,18,148
670,53,19,494
671,53,20,1573
672,53,21,2339
673,53,22,3707
674,53,23,4435
675,54,0,5334
676,54,1,6252
677,54,2,4459
678,54,3,4652
679,54,4,3257
680,54,5,2
681,54,18,100
682,54,19,415
683,54,20,1409
684,54,21,2105
685,54,22,3415
686,54,23,4564
687,55,0,4987
688,55,1,6300
689,55,2,5538
690,55,3,5089
691,55,4,3914
692,55,5,3
693,55,18,78
694,55,19,206
695,55,20,1175
696,55,21,1709
697,55,22,2772
698,55,23,4115
699,56,0,4662
700,56,1,6005
701,56,2,6379
702,56,3,5012
703,56,4,4375
704,56,5,6
705,56,18,32
706,56,19,164
707,56,20,775
708,56,21,1910
709,56,22,2453
710,56,23,3640
711,57,0,4291
712,57,1,4962
713,57,2,6154
714,57,3,5174
715,57,4,4957
716,57,5,8
717,57,18,74
718,57,19,169
719,57,20,437
720,57,21,1745
721,57,22,2195
722,57,23,3623
723,58,0,3870
724,58,1,4662
725,58,2,5260
726,58,3,5429
727,58,4,4979
728,58,5,7
729,58,19,98
730,58,20,395
731,58,21,985
732,58,22,2225
733,58,23,3441
734,59,0,4028
735,59,1,4814
736,59,2,5553
737,59,3,6128
738,59,4,5230
739,59,5,4
740,59,19,85
